Entity,Code,Year,Per capita greenhouse gas emissions including land use
Chile,CHL,2014,7.066875
Chile,CHL,2015,7.0903993
Chile,CHL,2016,7.102788
Chile,CHL,2017,6.9358673
Chile,CHL,2018,6.725559
Chile,CHL,2019,6.910745
Chile,CHL,2020,6.4279156
Chile,CHL,2021,6.1170154
Chile,CHL,2022,6.0102987
Chile,CHL,2023,5.403839
Chile,CHL,2024,5.2821336
China,CHN,2014,8.421998
China,CHN,2015,8.339434
China,CHN,2016,8.10709
China,CHN,2017,8.2294655
China,CHN,2018,8.449486
China,CHN,2019,8.656276
China,CHN,2020,8.781991
China,CHN,2021,9.084501
China,CHN,2022,9.435246
China,CHN,2023,9.79513
China,CHN,2024,9.939262
France,FRA,2014,6.212733
France,FRA,2015,6.2800193
France,FRA,2016,6.3334684
France,FRA,2017,6.5546746
France,FRA,2018,6.093496
France,FRA,2019,6.2848086
France,FRA,2020,5.51999
France,FRA,2021,5.8653336
France,FRA,2022,5.5796227
France,FRA,2023,5.194772
France,FRA,2024,5.077144
United States,USA,2014,20.459463
United States,USA,2015,19.649694
United States,USA,2016,19.164675
United States,USA,2017,19.022083
United States,USA,2018,19.300438
United States,USA,2019,18.83059
United States,USA,2020,16.964767
United States,USA,2021,18.024174
United States,USA,2022,18.157791
United States,USA,2023,17.696815
United States,USA,2024,17.527048
